Date,Open,High,Low,Close,Adj Close,Volume
2001-10-08,12.0,12.0,12.0,12.0,12.0,0
2001-10-09,11.9,12.18,11.9,12.18,12.18,100
2001-10-10,11.6,11.6,11.6,11.6,11.6,0
2001-10-11,13.4,13.4,13.4,13.4,13.4,0
2001-10-12,14.6,14.6,14.6,14.6,14.6,0
2001-10-15,13.2,13.2,13.2,13.2,13.2,0
2001-10-17,13.3,13.3,13.3,13.3,13.3,0
2001-10-18,12.6,12.7,12.6,12.7,12.7,95
2001-10-19,12.4,12.4,12.4,12.4,12.4,0
2001-10-22,12.2,12.5,12.2,12.5,12.5,100
2001-10-23,12.0,12.0,12.0,12.0,12.0,0
2001-10-24,11.9,11.9,11.9,11.9,11.9,0
2001-10-25,11.4,11.4,11.4,11.4,11.4,0
2001-10-29,15.0,15.0,15.0,15.0,15.0,0
2001-10-30,14.5,14.5,14.5,14.5,14.5,0
2001-10-31,14.2,14.2,13.95,13.95,13.95,100
2001-11-01,14.8,14.8,14.8,14.8,14.8,0
2001-11-02,15.6,15.6,15.6,15.6,15.6,0
2001-11-05,17.0,17.700001,17.0,17.700001,17.700001,0
2001-11-06,17.799999,17.799999,17.690001000000002,17.690001000000002,17.690001000000002,100
2001-11-07,17.799999,17.799999,17.799999,17.799999,17.799999,0
2001-11-08,15.5,15.5,15.5,15.5,15.5,100
2001-11-09,17.799999,17.799999,15.69,15.69,15.69,100
2001-11-12,17.799999,17.799999,17.799999,17.799999,17.799999,0
2001-11-13,15.2,15.2,15.2,15.2,15.2,0
2001-11-14,15.29,15.29,15.29,15.29,15.29,0
2001-11-15,15.21,15.4,15.21,15.4,15.4,0
2001-11-16,14.58,14.58,14.58,14.58,14.58,0
2001-11-19,15.25,15.25,15.25,15.25,15.25,600
2001-11-20,14.65,14.95,14.65,14.95,14.95,100
2001-11-21,13.7,13.7,13.7,13.7,13.7,0
2001-11-23,14.41,14.41,14.41,14.41,14.41,0
2001-11-26,14.73,15.0,14.73,15.0,15.0,100
2001-11-27,14.75,14.75,14.75,14.75,14.75,0
2001-11-28,14.54,14.54,14.54,14.54,14.54,0
2001-11-29,14.27,14.54,14.27,14.54,14.54,100
2001-11-30,14.5,14.5,14.5,14.5,14.5,0
2001-12-03,14.54,14.54,14.54,14.54,14.54,0
2001-12-04,14.44,14.44,14.44,14.44,14.44,0
2001-12-05,14.78,14.78,14.78,14.78,14.78,0
2001-12-06,16.200001,16.200001,16.200001,16.200001,16.200001,0
2001-12-07,16.4,16.4,16.4,16.4,16.4,0
2001-12-10,16.700001,16.700001,16.700001,16.700001,16.700001,0
2001-12-11,16.370001000000002,16.370001000000002,16.370001000000002,16.370001000000002,16.370001000000002,0
2001-12-12,16.780001000000002,16.780001000000002,16.780001000000002,16.780001000000002,16.780001000000002,0
2001-12-13,17.889999,17.889999,17.889999,17.889999,17.889999,0
2001-12-14,17.790001,17.790001,17.790001,17.790001,17.790001,0
2001-12-17,17.76,17.76,17.76,17.76,17.76,0
2001-12-18,17.92,17.92,17.92,17.92,17.92,0
2001-12-19,18.040001,18.040001,18.040001,18.040001,18.040001,0
2001-12-20,18.370001000000002,18.370001000000002,18.370001000000002,18.370001000000002,18.370001000000002,0
2001-12-21,17.77,17.77,17.77,17.77,17.77,0
2001-12-27,18.23,18.23,18.23,18.23,18.23,0
2001-12-28,18.76,18.799999,18.76,18.799999,18.799999,0
2002-01-02,18.780001000000002,18.780001000000002,18.780001000000002,18.780001000000002,18.780001000000002,0
2002-01-03,18.959999,18.959999,18.940001000000002,18.940001000000002,18.940001000000002,60
2002-01-04,19.360001,19.360001,19.360001,19.360001,19.360001,0
2002-01-07,19.92,19.92,19.92,19.92,19.92,0
2002-01-08,19.6,19.799999,19.6,19.799999,19.799999,30
2002-01-09,19.950001,19.950001,19.950001,19.950001,19.950001,0
2002-01-10,20.4,20.4,20.4,20.4,20.4,0
2002-01-11,20.799999,20.799999,20.799999,20.799999,20.799999,0
2002-01-14,20.1,20.1,20.1,20.1,20.1,0
2002-01-15,19.42,19.42,19.42,19.42,19.42,0
2002-01-16,19.4,19.4,19.4,19.4,19.4,0
2002-01-17,18.219998999999998,18.219998999999998,18.219998999999998,18.219998999999998,18.219998999999998,0
2002-01-18,18.620001000000002,18.620001000000002,18.620001000000002,18.620001000000002,18.620001000000002,0
2002-01-22,18.27,18.27,18.26,18.26,18.26,400
2002-01-23,16.690001000000002,16.690001000000002,16.690001000000002,16.690001000000002,16.690001000000002,0
2002-01-24,19.07,19.07,19.07,19.07,19.07,0
