Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
1/7/2014,874.6704,892.06753,810,810,15.62237812,13151.47284,841.8355223
1/8/2014,810,899.84281,788,824.98287,19.18275555,16097.32958,839.1562694
1/9/2014,825.56345,870,807.42084,841.86934,8.1583345,6784.249982,831.5729126
1/10/2014,839.99,857.34056,817,857.33056,8.02451046,6780.220188,844.9387936
1/11/2014,858.2,918.05471,857.16554,899.84105,18.74828487,16698.56693,890.6717092
1/12/2014,899.96114,900.93989,833.00001,860,25.42943314,21880.87898,860.454846
1/13/2014,847.32152,859.99999,815,835,25.86912661,21529.8395,832.2600071
1/14/2014,835,877.293,805,831,31.66288131,26756.27845,845.0361224
1/15/2014,831,864,828,850.00364,6.70756459,5698.139372,849.5094301
1/16/2014,853,865,824,826.97077,28.6020137,24229.47835,847.1249124
1/17/2014,824.1264,835.06427,788,804,26.35803928,21249.58041,806.1897237
1/18/2014,812.90538,844.14159,807.74074,819.51,18.76832727,15488.33894,825.2381109
1/19/2014,819.51,848.9,819.51,835,11.93959203,9816.159199,822.1519775
1/20/2014,843.94804,855,830.1,843.76589,4.44675857,3747.005869,842.6375775
1/21/2014,840,845.98999,820.1,829.01,6.89537424,5771.281599,836.9787335
1/22/2014,829,834.53144,821,830.88999,1.71261648,1421.643261,830.1001872
1/23/2014,822.4,830.88899,821,830.88897,11.58125085,9553.06187,824.8730637
1/24/2014,830.88897,835.48427,783,803.01935,25.00906729,20467.14709,818.3890608
1/25/2014,803.01936,830,795.07478,812.02,9.92963832,8121.589126,817.9138921
1/26/2014,818,840,813,826.72139,6.56973636,5460.465083,831.1543697
1/27/2014,826.70102,840,780,780,35.69920751,28647.24852,802.4617496
1/28/2014,780,830,775,815.99,15.75364425,12683.62099,805.1229788
1/29/2014,815.99,826.22571,795,795,18.92440096,15228.79163,804.7172358
1/30/2014,802.4522,815.23135,787.01,808,27.02869698,21685.05535,802.2974753
1/31/2014,808,812.63409,801,812.19037,12.86179583,10370.66059,806.3151309
2/1/2014,807.30274,835,803.41261,825,6.46833713,5349.327411,827.0019486
