Date,Open,High,Low,Close,Adj Close,Volume
2001-10-08,5.35,5.66,5.35,5.66,5.362105000000001,13600
2001-10-09,5.66,5.89,5.65,5.75,5.447369,13400
2001-10-10,5.7,6.0,5.7,5.88,5.570526999999999,28600
2001-10-11,5.83,5.89,5.75,5.8,5.494737000000001,4200
2001-10-12,5.75,6.07,5.75,6.07,5.750526,10400
2001-10-15,6.15,6.25,5.9,5.9,5.589474,6400
2001-10-16,5.95,6.2,5.9,6.15,5.826316,21300
2001-10-17,6.1,6.3,5.76,5.81,5.50421,11200
2001-10-18,5.95,5.95,5.8,5.8,5.494737000000001,4000
2001-10-19,5.69,5.69,5.16,5.2,4.926316,20000
2001-10-22,5.2,5.28,5.0,5.28,5.0021059999999995,17100
2001-10-23,5.22,5.25,5.0,5.12,4.850526,23900
2001-10-24,5.12,5.25,5.0,5.15,4.878948,23000
2001-10-25,5.02,5.24,5.0,5.02,4.75579,11300
2001-10-26,5.2,5.3,5.0,5.0,4.736842,13600
2001-10-29,4.88,5.11,4.8,5.1,4.8315790000000005,18000
2001-10-30,5.15,5.15,5.0,5.15,4.878948,11800
2001-10-31,4.95,5.14,4.95,5.05,4.784211,14600
2001-11-01,5.02,5.02,4.9,4.95,4.689474,14600
2001-11-02,4.8,4.99,4.8,4.95,4.689474,28000
2001-11-05,5.0,5.1,4.9,4.9,4.642106,41000
2001-11-06,4.87,5.0,4.75,4.95,4.689474,24200
2001-11-07,5.2,5.2,4.9,5.05,4.784211,20200
2001-11-08,5.04,5.12,4.91,4.96,4.698947,17000
2001-11-09,4.96,5.0,4.84,4.95,4.689474,11300
2001-11-12,4.8,4.92,4.8,4.92,4.661053,14700
2001-11-13,4.95,4.95,4.6,4.8,4.547369000000001,31100
2001-11-14,4.89,4.89,4.51,4.7,4.452630999999999,21500
2001-11-15,4.58,4.81,4.5,4.51,4.272632,49300
2001-11-16,4.67,4.82,4.45,4.82,4.5663160000000005,49000
2001-11-19,4.75,4.9,4.57,4.85,4.594737,31800
2001-11-20,4.8,5.06,4.75,4.99,4.727368,55800
2001-11-21,4.89,5.14,4.89,5.14,4.869473,47600
2001-11-23,5.15,5.15,5.06,5.1,4.8315790000000005,8900
2001-11-26,5.0,5.1,4.86,4.9,4.642106,21100
2001-11-27,5.0,5.05,4.86,5.05,4.784211,32200
2001-11-28,4.93,5.05,4.9,5.01,4.746316,29700
2001-11-29,5.05,5.05,4.91,5.01,4.746316,6800
2001-11-30,5.1,5.1,5.0,5.09,4.8221050000000005,46400
2001-12-03,5.02,5.1,4.95,5.05,4.784211,26600
2001-12-04,5.0,5.05,4.9,5.02,4.75579,11900
2001-12-05,5.0,5.08,4.91,4.95,4.689474,13200
2001-12-06,5.0,5.04,4.86,4.96,4.698947,25600
2001-12-07,4.85,5.0,4.8,5.0,4.736842,14200
2001-12-10,4.87,4.99,4.75,4.99,4.727368,13800
2001-12-11,4.87,5.0,4.8,5.0,4.736842,11200
2001-12-12,4.92,4.95,4.76,4.95,4.689474,16700
2001-12-13,4.85,4.9,4.76,4.89,4.632632,6900
2001-12-14,4.85,5.0,4.78,4.84,4.585262999999999,18200
2001-12-17,4.78,4.85,4.65,4.82,4.5663160000000005,21300
2001-12-18,4.75,4.85,4.43,4.72,4.471579,33200
2001-12-19,4.65,4.65,4.25,4.42,4.187368,30100
2001-12-20,4.3,4.35,4.0,4.22,3.9978949999999998,102200
2001-12-21,4.16,4.42,4.16,4.25,4.0263160000000005,30700
2001-12-24,4.35,4.4,4.1,4.3,4.073685,19300
2001-12-26,4.28,4.35,4.12,4.35,4.121053,16800
2001-12-27,4.35,4.35,4.04,4.3,4.073685,47500
2001-12-28,4.18,4.35,4.08,4.3,4.073685,68700
2001-12-31,4.3,4.6,4.06,4.6,4.357895,74900
2002-01-02,4.5,4.97,4.38,4.63,4.386316000000001,29800
2002-01-03,4.58,4.8,4.46,4.7,4.452630999999999,11500
2002-01-04,4.65,4.65,4.55,4.6,4.357895,11500
2002-01-07,4.55,4.82,4.44,4.7,4.452630999999999,16800
2002-01-08,4.7,4.7,4.55,4.56,4.32,18500
2002-01-09,4.61,4.76,4.58,4.6,4.357895,22200
2002-01-10,4.55,4.7,4.55,4.56,4.32,10300
2002-01-11,4.55,4.57,4.55,4.56,4.32,16400
2002-01-14,4.49,4.55,4.41,4.52,4.2821050000000005,19400
2002-01-15,4.5,4.58,4.42,4.51,4.272632,15200
2002-01-16,4.5,4.5,4.35,4.35,4.121053,16200
2002-01-17,4.36,4.4,4.3,4.4,4.1684209999999995,17100
2002-01-18,4.36,4.45,4.35,4.4,4.1684209999999995,19300
2002-01-22,4.4,4.45,4.25,4.28,4.054737,10200
2002-01-23,4.25,4.4,4.25,4.39,4.158947,17300
2002-01-24,4.35,4.35,4.25,4.35,4.121053,16400
2002-01-25,4.32,4.59,4.3,4.5,4.263158,23200
2002-01-28,4.55,4.55,4.31,4.5,4.263158,13900
2002-01-29,4.38,4.5,4.3,4.3,4.073685,7500
2002-01-30,4.42,4.5,4.18,4.5,4.263158,32100
2002-01-31,4.4,4.4,4.2,4.2,3.9789470000000002,8400
2002-02-01,4.15,4.15,4.05,4.05,3.836842,17600
2002-02-04,4.1,4.14,3.9,4.02,3.808421,42500
2002-02-05,4.14,4.14,3.85,4.03,3.8178949999999996,32100
2002-02-06,4.08,4.1,3.9,3.95,3.7421050000000005,75200
2002-02-07,3.8,3.99,3.5,3.99,3.78,16000
2002-02-08,4.11,4.11,3.9,3.95,3.7421050000000005,15500
2002-02-11,3.9,3.99,3.8,3.89,3.685263,19200
2002-02-12,3.95,3.95,3.9,3.9,3.6947370000000004,17000
2002-02-13,4.02,4.02,3.8,3.98,3.7705260000000003,90600
2002-02-14,3.99,3.99,3.81,3.95,3.7421050000000005,11700
2002-02-15,3.9,4.0,3.86,4.0,3.789474,7700
2002-02-19,3.98,4.08,3.95,4.06,3.8463160000000003,32600
2002-02-20,4.02,4.02,3.85,3.86,3.6568419999999997,14300
2002-02-21,3.82,3.91,3.8,3.81,3.6094739999999996,8800
2002-02-22,3.8,3.94,3.7,3.9,3.6947370000000004,25000
2002-02-25,3.88,3.9,3.8,3.9,3.6947370000000004,18700
2002-02-26,3.99,3.99,3.85,3.99,3.78,3100
2002-02-27,3.99,3.99,3.85,3.97,3.761053,18700
2002-02-28,3.9,3.9,3.85,3.9,3.6947370000000004,3100
2002-03-01,3.85,3.85,3.82,3.83,3.628421,3800
2002-03-04,3.81,3.9,3.8,3.84,3.637895,3800
2002-03-05,3.81,3.81,3.8,3.81,3.6094739999999996,10000
2002-03-06,3.8,3.9,3.8,3.8,3.6,7900
2002-03-07,3.8,3.8,3.76,3.8,3.6,12200
2002-03-08,3.8,3.8,3.75,3.8,3.6,6000
2002-03-11,3.75,3.8,3.7,3.72,3.524211,11500
2002-03-12,3.65,3.79,3.6,3.7,3.505263,4900
2002-03-13,3.62,3.72,3.55,3.72,3.524211,4900
2002-03-14,3.65,3.75,3.61,3.75,3.552632,13300
2002-03-15,3.8,3.8,3.55,3.8,3.6,11900
2002-03-18,3.8,3.8,3.65,3.75,3.552632,16200
2002-03-19,3.7,3.74,3.65,3.65,3.4578949999999997,4700
2002-03-20,3.66,3.66,3.55,3.65,3.4578949999999997,6900
2002-03-21,3.62,3.79,3.56,3.7,3.505263,10800
2002-03-22,3.65,3.7,3.55,3.68,3.4863160000000004,12500
2002-03-25,3.6,3.6,3.52,3.58,3.391579,4000
2002-03-26,3.55,3.55,3.02,3.28,3.107368,37300
2002-03-27,3.25,3.25,3.09,3.1,2.936842,19700
2002-03-28,3.1,3.19,3.0,3.0,2.842105,40200
2002-04-01,3.0,3.1,2.96,3.0,2.842105,51600
2002-04-02,3.0,3.1,3.0,3.03,2.870526,17700
2002-04-03,3.1,3.1,3.05,3.05,2.8894740000000003,2800
2002-04-04,3.02,3.02,3.0,3.0,2.842105,2200
2002-04-05,3.05,3.1,3.0,3.1,2.936842,5200
2002-04-08,3.06,3.15,2.85,3.05,2.8894740000000003,31300
2002-04-09,3.0,3.1,2.91,3.0,2.842105,26100
2002-04-10,2.95,3.05,2.9,2.99,2.832632,11900
2002-04-11,2.95,3.0,2.8,3.0,2.842105,21100
2002-04-12,3.02,3.02,2.6,2.9,2.747369,16900
2002-04-15,2.8,2.9,2.55,2.9,2.747369,27000
2002-04-16,2.85,2.85,2.2,2.75,2.605263,47400
