Date,Open,High,Low,Close,Adj Close,Volume
2002-07-30,3.1,3.15,3.1,3.15,2.7874630000000002,112800
2002-07-31,3.1825,3.21,3.1825,3.2,2.8317080000000003,8000
2002-08-01,3.2,3.225,3.2,3.225,2.85383,2800
2002-08-02,3.225,3.2625,3.225,3.25,2.875953,6400
2002-08-05,3.2625,3.2625,3.2625,3.2625,2.8870139999999997,2400
2002-08-06,3.27,3.27,3.27,3.27,2.8936509999999998,4000
2002-08-07,3.2725,3.2875,3.2725,3.2875,2.909137,38800
2002-08-08,3.275,3.275,3.25,3.25,2.875953,1200
2002-08-09,3.2025,3.3075,3.2025,3.275,2.8980759999999997,23600
2002-08-12,3.325,3.3675,3.325,3.3625,2.975506,60400
2002-08-13,3.3425,3.3625,3.33,3.36,2.973293,188800
2002-08-14,3.35,3.375,3.2875,3.3,2.920198,422800
2002-08-15,3.295,3.4125,3.295,3.4125,3.01975,283200
2002-08-16,3.425,3.45,3.4,3.4,3.008689,192400
2002-08-19,3.375,3.4125,3.3375,3.375,2.986567,490800
2002-08-20,3.425,3.425,3.425,3.425,3.030812,34400
2002-08-21,3.46,3.46,3.46,3.46,3.061784,2000
2002-08-22,3.4025,3.46,3.4,3.46,3.061784,174000
2002-08-23,3.495,3.575,3.495,3.57,3.1591240000000003,23600
2002-08-26,3.585,3.7625,3.585,3.675,3.252039,262400
2002-08-27,3.6875,3.9975,3.6875,3.75,3.3184080000000002,375600
2002-08-28,3.82,3.8475,3.75,3.8475,3.404686,73200
2002-08-29,3.85,3.875,3.8275,3.8725,3.4268080000000003,116800
2002-08-30,3.9,3.9,3.7875,3.8125,3.3737150000000002,72000
2002-09-03,3.9375,4.1725,3.925,4.1,3.628125,176400
2002-09-04,4.125,4.155,4.1,4.1125,3.639187,283600
2002-09-05,4.17,4.2125,4.1375,4.175,3.694494,150000
2002-09-06,4.2125,4.275,4.2,4.275,3.7829839999999995,245200
2002-09-09,4.325,4.6875,4.3225,4.5825,4.055093,198400
2002-09-10,4.525,4.5625,4.4525,4.5,3.9820900000000004,103600
2002-09-11,4.4625,4.5,4.4625,4.5,3.9820900000000004,12400
2002-09-12,4.525,4.5875,4.4625,4.5375,4.015272,332800
2002-09-13,4.525,4.62,4.525,4.6,4.070579,63600
2002-09-16,4.65,4.875,4.6475,4.875,4.31393,75600
2002-09-17,4.775,4.8025,4.725,4.7625,4.214377,252800
2002-09-18,4.77,4.8025,4.7125,4.7125,4.170132,90400
2002-09-19,4.7575,4.81,4.75,4.81,4.256411,13600
2002-09-20,4.7625,4.7625,4.7025,4.75,4.203316,46000
2002-09-23,4.75,4.75,4.7375,4.75,4.203316,28800
2002-09-24,4.75,4.7625,4.6875,4.6875,4.148009,44400
2002-09-25,4.6625,4.6625,4.5125,4.5875,4.059519,75600
2002-09-26,4.565,4.575,4.1,4.3,3.805108,271600
2002-09-27,4.2625,4.5625,4.2625,4.4625,3.9489050000000003,163200
2002-09-30,4.55,4.6,4.475,4.52,3.9997870000000004,77200
2002-10-01,4.5225,4.525,4.375,4.375,3.871475,135600
2002-10-02,4.35,4.35,4.35,4.35,3.8493519999999997,7600
2002-10-03,4.36,4.36,4.35,4.35,3.8493519999999997,10000
2002-10-04,4.325,4.325,4.1625,4.1625,3.683432,27600
2002-10-07,4.125,4.25,4.1,4.1125,3.639187,31200
2002-10-08,4.065,4.065,3.715,3.8125,3.3737150000000002,75200
2002-10-09,3.8125,3.8875,3.8125,3.85,3.4068980000000004,50000
2002-10-10,3.815,3.815,3.755,3.755,3.322832,14800
2002-10-11,3.75,3.7625,3.65,3.65,3.229917,25600
2002-10-14,3.7475,3.75,3.7475,3.75,3.3184080000000002,1600
2002-10-15,3.75,3.75,3.7025,3.75,3.3184080000000002,318000
2002-10-16,3.7375,3.9375,3.7375,3.875,3.429021,102800
2002-10-17,3.855,4.0,3.855,4.0,3.5396339999999995,22800
2002-10-18,4.025,4.05,4.025,4.05,3.58388,8800
2002-10-21,3.995,4.0475,3.95,4.0,3.5396339999999995,46400
2002-10-22,4.0625,4.25,4.0625,4.2475,3.7586489999999997,17200
2002-10-23,4.285,4.295,4.25,4.25,3.7608620000000004,54000
2002-10-24,4.2875,4.3,4.2,4.3,3.805108,50800
2002-10-25,4.3125,4.345,4.3125,4.345,3.844928,800
