Date,Open,High,Low,Close,Adj Close,Volume
2001-10-08,3.8,3.88,3.62,3.78,3.770047,136900
2001-10-09,3.7,3.86,3.7,3.75,3.740126,318200
2001-10-10,3.75,3.96,3.75,3.92,3.909679,482900
2001-10-11,3.92,4.25,3.92,4.2,4.188941000000001,807600
2001-10-12,4.25,4.45,4.04,4.25,4.23881,285000
2001-10-15,4.1,4.18,3.99,4.05,4.039337000000001,342800
2001-10-16,4.0,4.26,4.0,4.22,4.208889,676700
2001-10-17,4.15,4.2,3.65,3.75,3.740126,1805700
2001-10-18,3.75,3.99,3.75,3.96,3.9495739999999997,1375400
2001-10-19,3.95,4.08,3.95,4.05,4.039337000000001,576900
2001-10-22,4.0,4.11,3.98,4.1,4.089205000000001,272300
2001-10-23,4.07,4.15,4.05,4.1,4.089205000000001,322100
2001-10-24,4.15,4.69,4.15,4.41,4.398388,3031200
2001-10-25,4.3,4.55,4.25,4.55,4.5380199999999995,717100
2001-10-26,4.65,5.43,4.65,5.26,5.246151,886500
2001-10-29,5.27,5.85,5.25,5.6,5.585255,688600
2001-10-30,5.95,6.2,5.85,6.02,6.004149,743400
2001-10-31,6.03,6.22,5.9,6.1,6.083939,328200
2001-11-01,6.11,6.8,6.11,6.8,6.782096000000001,965500
2001-11-02,6.72,7.0,6.51,6.98,6.961622,786600
2001-11-05,6.98,6.98,6.17,6.33,6.313333,1007200
2001-11-06,6.2,6.49,5.75,6.38,6.363201999999999,617000
2001-11-07,6.38,6.62,6.28,6.46,6.442991,739600
2001-11-08,6.5,6.68,6.46,6.47,6.452964,314700
2001-11-09,6.37,6.62,6.37,6.49,6.472912,270500
2001-11-12,6.54,6.64,6.45,6.54,6.52278,165200
2001-11-13,6.65,6.93,6.56,6.8,6.782096000000001,737900
2001-11-14,7.2,7.2,6.94,6.97,6.951648,496800
2001-11-15,6.97,7.24,6.94,6.94,6.921727000000001,618000
2001-11-16,6.94,7.05,6.94,6.98,6.961622,315300
2001-11-19,6.99,7.0,6.9,6.9,6.881833,516800
2001-11-20,6.95,7.26,6.92,7.25,7.230911,576500
2001-11-21,7.15,7.2,6.88,6.9,6.881833,331400
2001-11-23,6.9,7.14,6.9,7.09,7.071332000000001,95300
2001-11-26,7.0,7.38,7.0,7.2,7.181042,291400
2001-11-27,7.22,7.6,7.22,7.35,7.330647,320500
2001-11-28,7.47,7.55,7.3,7.44,7.420411,354000
2001-11-29,7.4,7.69,7.15,7.69,7.669753,423300
2001-11-30,7.69,8.43,7.69,8.22,8.198358,1155800
2001-12-03,8.2,8.25,7.94,8.0,7.978936,879800
2001-12-04,7.94,8.0,7.86,7.9,7.8792,1155100
2001-12-05,7.9,8.05,7.9,7.95,7.929067999999999,2351300
2001-12-06,8.0,8.47,7.9,8.2,8.178410000000001,661100
2001-12-07,8.27,8.6,8.11,8.46,8.437725,894300
2001-12-10,8.46,8.5,8.26,8.35,8.328014999999999,624300
2001-12-11,8.33,8.51,8.31,8.41,8.387856,289700
2001-12-12,8.45,8.7,8.45,8.6,8.577356,248800
2001-12-13,8.65,8.66,8.51,8.58,8.557409,188800
2001-12-14,8.52,8.55,8.3,8.5,8.47762,730900
2001-12-17,8.42,8.63,8.32,8.5,8.47762,752700
2001-12-18,8.5,8.95,8.5,8.85,8.826698,572900
2001-12-19,8.85,8.88,8.61,8.82,8.796777,397800
2001-12-20,8.85,9.07,8.82,9.0,8.976303,612200
2001-12-21,9.6,9.6,9.35,9.6,9.574724,754400
2001-12-24,9.5,10.0,9.45,9.98,9.953722,291800
2001-12-26,10.08,10.08,9.7,9.89,9.86396,525200
2001-12-27,9.9,10.0,9.51,9.55,9.524856,345600
2001-12-28,9.45,9.89,9.44,9.74,9.714355,350500
2001-12-31,9.92,10.05,9.8,9.99,9.963696,500800
2002-01-02,9.8,10.0,9.55,9.98,9.953722,1342400
2002-01-03,10.0,10.04,9.94,9.99,9.963696,755300
2002-01-04,10.0,10.0,9.79,9.98,9.953722,490300
2002-01-07,10.0,10.49,9.99,10.38,10.35267,668300
2002-01-08,10.5,10.7,10.45,10.7,10.671827,554000
2002-01-09,10.65,10.7,10.5,10.55,10.522223,440500
2002-01-10,10.55,10.66,10.42,10.63,10.602012,297500
2002-01-11,10.63,10.88,10.63,10.71,10.681801,896600
2002-01-14,10.85,10.93,10.71,10.93,10.901222,1286200
2002-01-15,11.1,11.46,11.06,11.1,11.070774,1296900
2002-01-16,11.11,11.11,10.86,10.95,10.921168,879800
2002-01-17,11.02,11.04,10.73,10.86,10.831406,1111200
2002-01-18,10.86,10.93,10.77,10.8,10.771564,676400
2002-01-22,10.9,11.0,10.85,10.9,10.8713,479300
2002-01-23,10.95,11.09,10.95,11.07,11.040853,822000
2002-01-24,11.17,11.37,11.15,11.24,11.210405,345400
2002-01-25,11.25,12.45,11.25,11.94,11.908562,984100
2002-01-28,12.0,12.4,11.8,12.38,12.347404,537700
2002-01-29,12.9,12.95,12.13,12.34,12.307509,893500
2002-01-30,12.1,12.53,11.58,11.94,11.908562,977600
2002-01-31,12.15,12.94,12.07,12.84,12.806192,700300
2002-02-01,12.98,13.0,12.52,12.85,12.816167,615900
2002-02-04,12.75,12.75,12.25,12.44,12.407246,777800
2002-02-05,12.46,12.87,12.46,12.67,12.636641000000001,284400
2002-02-06,12.67,12.7,12.5,12.5,12.467088,410300
2002-02-07,12.35,12.48,12.29,12.35,12.317483,484900
2002-02-08,12.25,12.38,11.51,12.0,11.968405,666200
2002-02-11,12.08,12.6,12.07,12.53,12.497008000000001,520100
2002-02-12,12.48,12.68,12.45,12.62,12.586772,319500
2002-02-13,12.61,12.84,12.6,12.8,12.766297999999999,1441500
2002-02-14,12.75,12.87,12.55,12.55,12.516956,169400
2002-02-15,12.55,12.94,12.55,12.81,12.776272,222100
2002-02-19,12.91,13.18,12.91,12.99,12.955797,451300
2002-02-20,13.0,13.18,12.96,13.18,13.145298,341300
2002-02-21,13.18,13.18,12.85,12.85,12.816167,335600
2002-02-22,12.9,13.14,12.85,13.09,13.055534,832400
2002-02-25,13.09,14.0,13.09,13.75,13.713797,781000
