Date,Open,High,Low,Close,Adj Close,Volume
2001-10-08,2.6,2.69,2.55,2.59,2.172028,344400
2001-10-09,2.6,2.65,2.45,2.48,2.0797790000000003,382800
2001-10-10,2.48,2.59,2.41,2.5,2.096552,370600
2001-10-11,2.47,2.75,2.47,2.7,2.2642759999999997,1507500
2001-10-12,2.75,2.75,2.54,2.6,2.180414,448100
2001-10-15,2.55,2.58,2.5,2.54,2.130097,275200
2001-10-16,2.55,2.63,2.5,2.55,2.1384830000000004,984500
2001-10-17,2.55,2.7,2.53,2.65,2.2223450000000002,931900
2001-10-18,2.67,2.8,2.6,2.75,2.306207,1086600
2001-10-19,2.8,3.15,2.8,3.1,2.599724,2513200
2001-10-22,3.11,3.22,3.05,3.13,2.624883,1309700
2001-10-23,3.12,3.34,3.11,3.24,2.717131,1067300
2001-10-24,3.3,3.58,3.25,3.5,2.935173,1826100
2001-10-25,3.5,3.5,3.2,3.33,2.792608,1293700
2001-10-26,3.43,3.59,3.35,3.49,2.926787,1706700
2001-10-29,3.53,3.54,3.25,3.27,2.74229,602300
2001-10-30,3.25,3.48,3.15,3.4,2.851311,1744600
2001-10-31,3.44,3.57,3.35,3.35,2.80938,1311700
2001-11-01,3.45,3.53,3.37,3.4,2.851311,774600
2001-11-02,3.45,3.99,3.38,3.99,3.3460970000000003,2434100
2001-11-05,3.99,3.99,3.7,3.83,3.211918,1088200
2001-11-06,3.8,4.0,3.78,4.0,3.354484,899600
2001-11-07,3.95,3.99,3.87,3.95,3.3125519999999997,494900
2001-11-08,3.91,4.4,3.91,4.25,3.564138,3326300
2001-11-09,4.29,4.29,4.05,4.07,3.413186,1011000
2001-11-12,4.12,4.28,3.99,4.23,3.5473660000000002,782300
2001-11-13,4.25,4.36,4.22,4.27,3.58091,960600
2001-11-14,4.3,4.48,4.3,4.38,3.6731589999999996,1088600
2001-11-15,4.38,4.38,4.18,4.24,3.5557529999999997,1712500
2001-11-16,4.28,4.3,4.11,4.17,3.4970489999999996,1046400
2001-11-19,4.25,4.39,4.25,4.35,3.648,1152600
2001-11-20,4.3,4.3,3.9,3.92,3.2873940000000004,1254900
2001-11-21,4.02,4.38,4.02,4.31,3.6144559999999997,2412500
2001-11-23,4.37,4.55,4.3,4.55,3.815725,796700
2001-11-26,4.51,4.94,4.51,4.94,4.142787,2596500
2001-11-27,4.84,4.95,4.56,4.64,3.8912,1481700
2001-11-28,4.6,4.62,4.39,4.42,3.706704,1480000
2001-11-29,4.4,4.55,4.33,4.53,3.798953,1102700
2001-11-30,4.57,4.74,4.51,4.71,3.949904,1890700
2001-12-03,4.5,4.65,4.5,4.64,3.8912,867100
2001-12-04,4.64,4.74,4.53,4.73,3.966676,1651900
2001-12-05,4.73,4.93,4.71,4.86,4.075697,1451000
2001-12-06,4.88,5.28,4.86,5.25,4.40276,3711700
2001-12-07,5.26,5.75,5.1,5.62,4.713049,3372900
2001-12-10,5.3,5.95,5.28,5.41,4.536938,3783900
2001-12-11,5.4,6.15,5.4,6.0,5.031725,5705900
2001-12-12,6.0,6.26,5.87,6.14,5.149131,3092600
2001-12-13,6.1,6.17,6.0,6.05,5.073656,2286300
2001-12-14,6.05,6.05,5.65,5.72,4.796911,2456500
2001-12-17,5.74,6.0,5.61,5.99,5.023338,1596600
2001-12-18,6.13,6.24,5.95,6.24,5.232994000000001,2237500
2001-12-19,6.05,6.1,5.5,5.92,4.9646360000000005,2347900
2001-12-20,5.82,6.03,5.51,5.52,4.629187,1907900
2001-12-21,6.0,6.45,5.96,6.1,5.1155870000000006,5651600
2001-12-24,6.12,6.23,6.02,6.1,5.1155870000000006,611800
2001-12-26,6.14,6.49,6.1,6.45,5.409104,1339600
2001-12-27,6.49,6.78,6.33,6.78,5.685849,1978000
2001-12-28,6.75,6.79,6.33,6.5,5.451035,1348300
2001-12-31,6.4,6.49,6.13,6.27,5.258152,1804100
2002-01-02,6.37,6.45,6.05,6.14,5.149131,2080600
2002-01-03,6.18,6.3,6.06,6.14,5.149131,2489800
2002-01-04,6.15,6.51,6.15,6.45,5.409104,2516000
2002-01-07,6.49,6.94,6.49,6.86,5.752939,2450200
2002-01-08,6.88,7.14,6.71,7.0,5.870347,3132200
2002-01-09,7.1,7.75,7.05,7.5,6.289656,7356800
2002-01-10,7.5,7.7,7.15,7.35,6.163863,2904800
2002-01-11,7.35,7.55,7.32,7.4,6.205794999999999,1706400
2002-01-14,7.4,7.6,6.6,6.83,5.727782,3195100
2002-01-15,6.83,6.99,6.83,6.98,5.853573,1731300
2002-01-16,6.85,7.15,6.77,7.01,5.878734,3318400
2002-01-17,7.05,7.11,6.88,6.95,5.828415000000001,1627700
2002-01-18,6.5,6.59,6.25,6.46,5.417491,5307600
2002-01-22,6.98,7.14,6.7,6.99,5.861959,3226800
2002-01-23,7.0,7.12,6.92,7.05,5.912278,2821800
2002-01-24,7.22,7.44,7.07,7.11,5.962594,2783300
2002-01-25,7.05,7.12,6.4,6.89,5.778098,2890300
2002-01-28,6.86,7.05,6.77,6.79,5.694236,1895400
2002-01-29,6.89,6.95,6.75,6.85,5.744553,1563700
2002-01-30,6.85,6.85,6.36,6.49,5.442648999999999,2957800
2002-01-31,6.49,6.58,6.25,6.25,5.241381,1282000
2002-02-01,6.2,6.24,5.7,5.72,4.796911,5222900
